"Xinhua9","Tue Jun 30 00:28:30 +0000 2015","#Chile2015 Aficionado de #Chile en Semifinales #ChilevsPeru de la #CopaAmerica en Santiago (Xinhua/@memo_fotitos) ce http://t.co/byEcmZBP6L"
"HCorben","Tue Jun 30 00:28:30 +0000 2015","RT @shinken_otacon: Juegan bien los 12 de #Chile che #CopaAmerica"
"HERMANGUTIFMD","Tue Jun 30 00:28:31 +0000 2015","RT @CA2015: En esta #CopaAmerica tres de las siete tarjetas rojas han sido a rivales de #Chile. Via @OptaJavier 
http://t.co/odwZKGSCfk"
"eloncetitular","Tue Jun 30 00:28:31 +0000 2015","Al medio tiempo de #ChilevsPeru la roja esta en la final de la  #CopaAmerica muy dificil para #PER con diez hombres http://t.co/k50mRBnsxm"
"sofia_leteliers","Tue Jun 30 00:28:32 +0000 2015","#CHI #CopaAmerica 🇨🇱🇨🇱🇨🇱🎉 http://t.co/ZA5xszLt7P"
"Agatha_rz","Tue Jun 30 00:28:33 +0000 2015","RT @Agencia_Andina: En la #CopaAmerica tres de las siete tarjetas rojas han sido a rivales de #Chile segun @CA2015"
"AlexFrancoAgMaX","Tue Jun 30 00:28:33 +0000 2015","RT @AficionCentral: #CopaAmerica Final del primer tiempo

#CHI 1 - #PER 0"
"dupontsradio","Tue Jun 30 00:28:34 +0000 2015","#CopaAmerica #Chile2015
MEDIO TIEMPO #CHILE 1-0 #PERu
📻Du Ponts Radio
#VamosPeru http://t.co/F56zwgwwxy"
"VeltranJu13","Tue Jun 30 00:28:34 +0000 2015","RT @DianaEc2: MEMES Chile VS Peru #CopaAmerica #Chile2015 http://t.co/tk8REzQQre"
"KleverRomero2","Tue Jun 30 00:28:34 +0000 2015","RT @DianaEc2: MEMES Chile VS Peru #CopaAmerica #Chile2015 http://t.co/tk8REzQQre"
"LilianaG15","Tue Jun 30 00:28:34 +0000 2015","RT @DianaEc2: MEMES Chile VS Peru #CopaAmerica #Chile2015 http://t.co/tk8REzQQre"
